! I stole/borrowed this list from Greg Thompson below at the UCAR RAP site. Thus all credit for making this very long
! list goes to him. I just deleted some headers and rearranged some stuff to improve searchability.
!
! Edited for use in ClimoBuilder by: Warren Pettee
!
! Original Content:
!
! Author: Greg Thompson  NCAR/RAP
!         please mail corrections to gthompsn (at) ucar (dot) edu
! Date: 20 Feb 2015
! This file is continuously maintained at:
! http://www.rap.ucar.edu/weather/surface/stations.txt
!
! This file is organized by state alphabetically, then by Canadian
! province and then all other stations.  The file was compiled from lists
! of the following:
!      METAR sites
!      NEXRADs
!      rawinsonde sites
!      wind profilers
!      WFOs, RFCs, NCEP-Centers
!      AIRMET/SIGMET station list (VORs?)
!      ARTCCs (Air Route Traffic Control Centers - FAA)
!      old SAO sites for archive data access  (flagged in a special manner)
!
!   Country abbreviations from ISO 3166
!   source:  ftp://ftp.fu-berlin.de/doc/iso/iso3166-countrycodes.txt
!   another: http://www.iso.org/iso/en/prods-services/iso3166ma/02iso-3166-code-lists/list-en1.html
!
!   CD = 2 letter state (province) abbreviation
!   STATION = 16 character station long name
!   ICAO = 4-character international id
!   IATA = 3-character (FAA) id
!   SYNOP = 5-digit international synoptic number
!   LAT = Latitude (degrees minutes)
!   LON = Longitude (degree minutes)
!   ELEV = Station elevation (meters)
!   M = METAR reporting station.   Also Z=obsolete? site
!   N = NEXRAD (WSR-88D) Radar site
!   V = Aviation-specific flag (V=AIRMET/SIGMET end point, A=ARTCC T=TAF U=T+V)
!   U = Upper air (rawinsonde=X) or Wind Profiler (W) site
!   A = Auto (A=ASOS, W=AWOS, M=Meso, H=Human, G=Augmented) (H/G not yet impl.)
!   C = Office type F=WFO/R=RFC/C=NCEP Center
!   Digit that follows is a priority for plotting (0=highest)
!   Country code (2-char) is last column
!
!23456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
!
CD,STATION,ICAO,IATA,SYNOP,LAT,LONG,ELEV,M,N,V,U,A,C,,
BC,CAMPBELLRIVERA,CYBL,YBL,,4957N,12516W,106,X,,T,,,,6,CA
BC,CAPEMUDGE(LGT,CWAD,WAD,,5000N,12512W,4,X,,,,,,7,CA
BC,CAPESCOTT(LGT,CWES,WES,71111,5046N,12825W,72,X,,,,,,7,CA
BC,CAPESTJAMES,CWZV,WZV,71107,5156N,13101W,92,X,,,,,,7,CA
BC,CASTLEGARAIRPOR,CYCG,YCG,71884,4917N,11737W,495,X,,T,,,,6,CA
BC,CATHEDRALPT(MAP,CWME,WME,71482,5211N,12728W,32,X,,,,,,7,CA
BC,CHATHAMPOINT(L,CWFM,WFM,,5020N,12527W,23,X,,,,,,7,CA
BC,CHETWYNDAIRPORT,CYCQ,YCQ,,5542N,12137W,609,X,,,,,,7,CA
BC,CLINTON(MARS),CWCL,WCL,71474,5108N,12130W,1057,X,,,,,,7,CA
BC,COMOX(CANMIL),CYQQ,YQQ,71893,4943N,12454W,24,X,,T,,,,6,CA
BC,CRANBROOK,CYXC,YXC,71880,4936N,11546W,939,X,,U,,,,6,CA
BC,CRESTON(AUTOB),CWJR,WJR,71770,4904N,11630W,646,X,,,,,,7,CA
BC,CUMSHEWAISL(MA,CWZL,WZL,,5302N,13136W,17,X,,,,,,7,CA
BC,DAWSONCREEKARP,CYDQ,YDQ,,5545N,12010W,655,X,,T,,,,7,CA
BC,DEASELAKE,CWDL,,71958,5826N,13001W,816,X,,,,,,7,CA
BC,DEASELAKE,CYDL,,,5825N,13001W,816,X,,T,,,,6,CA
BC,DEASELAKECS,CWKX,WKX,71222,5826N,13001W,793,X,,,,,,7,CA
BC,DISCOVERYISLAND,CWDR,,71031,4825N,12314W,17,X,,,,,,7,CA
BC,DRYADPOINT(LGT,CWAU,WAU,,5211N,12807W,4,X,,,,,,7,CA
BC,EGGISLAND,CWEM,WEM,,5115N,12750W,14,X,,,,,,7,CA
BC,ENTRANCEILAUTO,CWEL,WEL,71772,4913N,12347W,5,X,,,,,,7,CA
BC,ESQUIMALTMETOC,CWPF,WPF,,4826N,12326W,12,X,,,,,,7,CA
BC,ESTEVANPT.(MAR,CWEB,WEB,71894,4923N,12633W,7,X,,,,,,7,CA
BC,FANNYISLAND,CXFA,,71568,5027N,12600W,5,X,,,,,,8,CA
BC,FORTNELSONAIRP,CYYE,YYE,71945,5849N,12234W,382,X,,T,X,,,5,CA
BC,FORTST.JOHNAR,CYXJ,YXJ,71943,5615N,12044W,695,X,,T,,,,6,CA
BC,GOLDENARPT,CYGE,YGE,,5118N,11659W,785,X,,,,,,7,CA
BC,GREENISLAND(MT,CWNJ,,,5434N,13042W,12,X,,,,,,7,CA
BC,GREYISLET(MAPS,CWEK,WEK,71476,5435N,13042W,8,X,,,,,,7,CA
BC,HELMCKENISL(MAP,CWXM,WXM,71481,5023N,12552W,19,X,,,,,,7,CA
BC,HERBERTISL(MAP,CWLP,WLP,71485,5056N,12738W,17,X,,,,,,7,CA
BC,HOLBERGCCR,CWXH,WXH,71562,5038N,12808W,568,X,,,,,,7,CA
BC,HOLLANDROCK(AUT,CWHL,WHL,71440,5410N,13021W,5,X,,,,,,7,CA
BC,HOPEAIRPORT(MA,CYHE,YHE,71114,4922N,12130W,39,X,,,,,,7,CA
BC,HOPESLIDE,CWKV,WKV,,4916N,12113W,674,X,,,,,,7,CA
BC,HORSEFLYR.71761,CWFR,WFR,,5216N,12102W,846,Z,,,,,,7,CA
BC,HOSKINSISLET,CWZK,,71773,5232N,13133W,8,X,,,,,,8,CA
BC,ISKUTRIVER(AUTO,CWIO,WIO,,5643N,13140W,15,X,,,,,,7,CA
BC,IVORYISLAND,CWJG,WJG,,5216N,12825W,10,X,,,,,,7,CA
BC,KAMLOOPSAIRPORT,CYKA,YKA,71887,5042N,12027W,346,X,,T,,,,6,CA
BC,KAMLOOPS,CZKA,,,5042N,12026W,345,X,,,,,,8,CA
BC,KELOWNAAPT,CYLW,YLW,71203,4957N,11922W,430,X,,T,X,,,1,CA
BC,KELPREEFS71036,CWZO,WZO,,4833N,12314W,1,Z,,,,,,7,CA
BC,KINDAKUNROCKS(A,CWQS,WQS,71472,5319N,13246W,14,X,,,,,,7,CA
BC,LANGARA,CWJU,WJU,71903,5415N,13304W,41,X,,,,,,7,CA
BC,LANGARA,CWLA,WLA,71899,5415N,13304W,41,X,,,,,,7,CA
BC,LUCYISL(LGTH),CWLC,WLC,,5418N,13037W,27,X,,,,,,7,CA
BC,LYTTON(READAC),CWLY,WLY,71891,5013N,12135W,229,X,,,,,,7,CA
BC,MACKENZIEAIRPOR,CYZY,YZY,71944,5517N,12307W,690,X,,T,,,,6,CA
BC,MALAHAT(AUTOB),CWKH,WKH,71774,4834N,12333W,366,X,,,,,,7,CA
BC,MASSET,CZMT,,,5402N,13208W,8,X,,T,,,,6,CA
BC,MCINNESISLAND,CWMS,WMS,71897,5216N,12843W,26,X,,,,,,7,CA
BC,MERRYISLAND,CWMR,WMR,,4928N,12355W,8,X,,,,,,7,CA
BC,MTSICKERRADAR,CXSI,,,4852N,12345W,1,,X,,,,,8,CA
BC,MUNCHOLAKE,CWWQ,WWQ,,5856N,12546W,837,X,,,,,,7,CA
BC,NAKUSP(AUTOB),CWNP,WNP,71216,5016N,11749W,524,X,,,,,,7,CA
BC,NANAIMOAIRPORT,CYCD,YCD,71890,4903N,12352W,30,X,,T,,,,6,CA
BC,NECHAKORIVERAU,CWNX,WNX,,5340N,12449W,715,X,,,,,,7,CA
BC,NELSON(AUTOB),CWNM,WNM,71776,4930N,11717W,535,X,,,,,,7,CA
BC,NITINATLAKE(MA,CWAC,WAC,71483,4840N,12450W,41,X,,,,,,7,CA
BC,NOOTKALIGHTSTAT,CWCV,WCV,,4936N,12637W,16,X,,,,,,7,CA
BC,OSOYOOS(AUTOB),CWYY,WYY,71215,4902N,11926W,283,X,,,,,,7,CA
BC,P.MEADOWSCSAU,CWMM,WMM,71775,4913N,12241W,5,X,,,,,,7,CA
BC,PEMBERTON(AUTOB,CWGP,WGP,71777,5018N,12244W,204,Z,,,,,,7,CA
BC,PEMBERTON(AUTOB,CYPS,WGE,,5018N,12244W,204,,,,,,,7,CA
BC,PENTICTONAIRPOR,CYYF,YYF,71889,4928N,11935W,344,X,,T,,,,6,CA
BC,PINEISLAND(MAP,CWPI,WPI,71105,5059N,12744W,9,X,,,,,,7,CA
BC,PORTALBERNI(MA,CWQC,WQC,71475,4919N,12456W,53,X,,,,,,7,CA
BC,PORTHARDYAIRPO,CYZT,YZT,71109,5040N,12722W,22,X,,T,X,,,0,CA
BC,POWELLRIVERARP,CYPW,YPW,71208,4949N,12430W,130,X,,,,,,7,CA
BC,PRINCEGEORGE,CYXS,YXS,71908,5354N,12241W,691,X,,T,X,,,0,CA
BC,PRINCEGEORGE,CXPG,,,5337N,12257W,1101,,X,,,,,8,CA
BC,PRINCERUPERTAR,CYPR,YPR,71898,5417N,13025W,34,X,,T,,,,6,CA
BC,PRINCETON,CWPR,WPR,71032,4928N,12031W,700,X,,,,,,7,CA
BC,PRINCETON,CYDC,YDC,71886,4928N,12031W,700,X,,V,,,,6,CA
BC,PUNTZIMTN(MARS,CWPU,WPU,71050,5207N,12407W,910,X,,,,,,7,CA
BC,QUATSINO(LGTST,CWIF,WIF,,5026N,12802W,21,X,,,,,,7,CA
BC,QUESNELAIRPORT,CYQZ,YQZ,71103,5301N,12231W,545,X,,T,,,,6,CA
BC,RACEROCKSAUTOB,CWQK,WQK,71778,4818N,12332W,5,X,,,,,,7,CA
BC,REVELSTOKEAIRPO,CYRV,YRV,71882,5058N,11810W,443,X,,,,,,7,CA
BC,ROSESPIT(MAPS),CWRO,WRO,71477,5410N,13140W,7,X,,,,,,7,CA
BC,SALMONARMAUTOB,CWSL,WSL,71218,5042N,11916W,351,X,,,,,,7,CA
BC,SANDHEADS(LS),CWVF,WVF,,4906N,12318W,1,X,,,,,,7,CA
BC,SANDSPITAIRPORT,CYZP,YZP,71101,5315N,13149W,6,X,,T,,,,6,CA
BC,SARTINEISL(MAP,CWFG,WFG,71478,5049N,12854W,111,X,,,,,,7,CA
BC,SATURNAISL(MAP,CWEZ,WEZ,71473,4847N,12303W,7,X,,,,,,7,CA
BC,SCUDDERPOINT,CWZD,,,5227N,13114W,5,X,,,,,,8,CA
BC,SHERINGHAMAUTOB,CWSP,WSP,71780,4823N,12355W,21,X,,,,,,7,CA
BC,SILVERSTARRADR,CXSS,,,5022N,11904W,1681,,X,,,,,8,CA
BC,SIKANNICHIEFAU,CWKS,WKS,,5715N,12243W,937,X,,,,,,7,CA
BC,SISTERSILAUTOB,CWGT,,71781,4929N,12426W,5,X,,,,,,7,CA
BC,SMITHERSAIRPORT,CYYD,YYD,71950,5449N,12711W,523,X,,T,,,,6,CA
BC,SOLANDERISL(MA,CWRU,WRU,71479,5007N,12756W,98,X,,,,,,7,CA
BC,SPARWOOD(AUTOB),CWGW,WGW,71782,4945N,11454W,1137,X,,,,,,7,CA
BC,SPARWOOD/ELKVAL,CWSW,WSW,,4945N,11452W,1138,X,,,,,,7,CA
BC,SQUAMISH(AUTOB),CWSK,WSK,71207,4947N,12310W,60,X,,,,,,7,CA
BC,SQUAMISH(AUTOB),CYSE,,,4947N,12310W,52,X,,,,,,7,CA
BC,STEWARTAIRPORT,CZST,ZST,71955,5556N,12959W,7,X,,,,,,7,CA
BC,SUMMERLAND(AUTO,CWUS,WUS,71768,4934N,11939W,454,X,,,,,,7,CA
BC,TATLAYOKOLAKE,CXTL,,71028,5140N,12424W,875,X,,,,,,8,CA
BC,TERRACEAIRPORT,CYXT,YXT,71951,5428N,12834W,217,X,,T,,,,6,CA
BC,TETSARIVER,CWTH,WTH,,5839N,12414W,804,X,,,,,,7,CA
BC,TOFINOAIRPORT,CYAZ,YAZ,71106,4905N,12546W,24,X,,T,,,,6,CA
BC,TRIPLEISLAND(L,CWTI,WTI,71100,5418N,13053W,21,X,,,,,,7,CA
BC,VANCOUVER(AUTOB,CWHC,WHC,71201,4917N,12307W,2,X,,,,,,7,CA
BC,VANCOUVERINTLA,CYVR,YVR,71892,4910N,12310W,2,X,,T,Z,,,6,CA
BC,VERNON(AUTOB),CWJV,WJV,71115,5013N,11911W,556,X,,,,,,7,CA
BC,VERNONBRIDGE,CWVK,WVK,,5013N,11916W,555,,,,Z,,,8,CA
BC,VIC.HARTLANDAU,CWVV,WVV,,4831N,12328W,49,X,,,,,,7,CA
BC,VICTORIA(AUTOB),CWLM,WLM,71200,4825N,12319W,70,X,,,,,,7,CA
BC,VICTORIAHARBOUR,CYWH,YWH,,4825N,12323W,10,X,,T,,,,7,CA
BC,VICTORIAINTLAR,CYYJ,YYJ,71799,4839N,12326W,19,X,,T,,,,6,CA
BC,VICTORIAUNIV,CWYJ,WYJ,71783,4827N,12318W,39,X,,,,,,7,CA
BC,WVANCOUVERAUTO,CWWA,WWA,71784,4921N,12310W,178,X,,,,,,7,CA
BC,WHISTLER,CWAE,WAE,,5008N,12257W,658,X,,,,,,7,CA
BC,WHITEROCKAUTOB,CWWK,WWK,71785,4901N,12247W,15,X,,,,,,7,CA
BC,WILLIAMSLAKEAR,CYWL,YWL,71104,5211N,12204W,940,X,,T,,,,6,CA
BC,ALERTBAY(CWAQ),,,71110,5034N,12655W,59,Z,,,,,,9,CA
BC,INGENIKAPTCWWU,,,,5647N,12454W,680,Z,,,,,,9,CA
MB,ARNES,CWRE,,,5048N,09657W,221,X,,,,,,8,CA
MB,BERENSRIVERAPT,CYBV,YBV,,5221N,09702W,222,X,,,,,,7,CA
MB,BERENSRIVERAPT,CWCF,WCF,71158,5221N,09702W,222,X,,,,,,7,CA
MB,BRANDONAIRPORT,CYBR,YBR,71140,4955N,09957W,409,X,,T,,,,6,CA
MB,CARMANUOFM,CWNK,WNK,71147,4930N,09802W,268,X,,,,,,7,CA
MB,CHURCHILLAIRPOR,CYYQ,YYQ,71913,5845N,09404W,29,X,,T,X,,,5,CA
MB,DAUPHINAIRPORT,,,71855,5106N,10002W,305,Z,,,,,,8,CA
MB,DAUPHIN,CYDN,YDN,71036,5106N,10003W,305,X,,T,,,,5,CA
MB,DEERWOODRCS,CXDW,XDW,71840,4924N,09819W,341,X,,,,,,7,CA
MB,DELTAMARSHCS,CZUG,,71563,5011N,09823W,248,X,,,,,,8,CA
MB,EMERSON,CWEX,,71560,4900N,09714W,242,X,,,,,,8,CA
MB,FISHERBRANCH(MA,CWSZ,WSZ,71442,5104N,09732W,253,X,,,,,,7,CA
MB,FLINFLONAIRPOR,CYFO,YFO,,5440N,10140W,304,X,,,,,,7,CA
MB,FOXWARRENRADAR,CXFW,,,5033N,10106W,547,,X,,,,,8,CA
MB,GEORGEISL(MAPS,CWWS,WWS,71445,5249N,09737W,223,X,,,,,,7,CA
MB,GILLAMAIRPORT,CYGX,YGX,71912,5621N,09442W,145,X,,T,,,,6,CA
MB,GILLAMAIRPORT,CWGX,WGX,,5621N,09442W,145,X,,,,,,7,CA
MB,GIMLI,CYGM,YGM,71856,5037N,09701W,230,X,,,,,,7,CA
MB,GIMLIHARBOUR,CXGH,,71577,5038N,09700W,217,X,,,,,,7,CA
MB,GRANDRAPIDS(MA,CWJD,WJD,71858,5310N,09916W,223,X,,,,,,7,CA
MB,GRETNA(MARS),CWGN,WGN,71441,4901N,09734W,251,X,,,,,,7,CA
MB,HUNTERSPOINTMA,CWHH,WHH,71142,5302N,10056W,256,X,,,,,,7,CA
MB,ISLANDLAKEAIRP,CYIV,YIV,71145,5351N,09439W,237,X,,T,Z,,,6,CA
MB,KELSEYDAMCS,CZKD,,71572,5602N,09631W,183,X,,,,,,8,CA
MB,LYNNLAKEAIRPOR,CYYL,YYL,71078,5652N,10104W,357,X,,T,Z,,,6,CA
MB,MELITA,CWEI,,71447,4917N,10059W,446,X,,,,,,7,CA
MB,MORDEN,CXMD,XMD,71564,4913N,09805W,301,X,,,,,,7,CA
MB,PILOTMOUND(MAR,CWPO,WPO,71148,4912N,09854W,470,X,,,,,,7,CA
MB,PORTAGESOUTHPOR,CYPG,YPG,71851,4953N,09816W,269,X,,T,,,,6,CA
MB,SHILO,CWLO,WLO,71853,4946N,09937W,373,X,,,M,,,7,CA
MB,SWANRIVER(MARS,CWEQ,WEQ,71443,5207N,10113W,335,X,,,,,,7,CA
MB,TADOULELAKECS,CXBQ,,71334,5842N,09830W,262,X,,,,,,8,CA
MB,TADOULELAKE,CYBQ,,,5842N,09830W,262,X,,,,,,8,CA
MB,THEPASAIRPORT,CYQD,YQD,71867,5358N,10105W,271,X,,T,X,,,5,CA
MB,THOMPSONAIRPORT,CYTH,YTH,71079,5547N,09752W,218,X,,T,,,,6,CA
MB,VICTORIABEACH,CWII,WII,71552,5042N,09634W,220,X,,,,,,7,CA
MB,VIVIANRADAR,CWVJ,,,4953N,09628W,290,,X,,,,,8,CA
MB,WINNIPEGINTLAR,CYWG,YWG,71852,4953N,09713W,239,X,,U,,,,0,CA
MB,WINNIPEG,CXWI,,71843,4953N,09708W,251,,,,O,,,0,CA
MB,WINNIPEGFORKS,CXWN,XWN,71579,4953N,09708W,230,X,,,,,,7,CA
MB,NORWAYHOUSEARP,CYNE,YNE,,5358N,09749W,223,X,,T,,,,8,CA
NB,BATHURSTARPT(AW,CZBF,ZBF,71574,4737N,06545W,59,X,,T,,,,6,CA
NB,CHARLOAIRPORT,CZCR,,71711,4758N,06619W,38,X,,,,,,7,CA
NB,CHARLO,,,71315,4759N,06620W,42,X,,,,,,7,CA
NB,CHIPMANRADAR,CXNC,,,4613N,06542W,1,,X,,,,,8,CA
NB,EDMUNSTON,CERM,,,4725N,06819W,154,X,,,,,,7,CA
NB,FREDERICTONAIRP,CYFC,YFC,71700,4552N,06631W,20,X,,T,,,,6,CA
NB,GAGETOWN(CANM,CYCX,YCX,71701,4549N,06625W,51,X,,T,M,,,6,CA
NB,GRANDMANAN,CXGM,,71030,4443N,06648W,78,X,,,,,,8,CA
NB,MECHANICSETTLE,CWMK,,,4542N,06510W,1,,X,,,,,8,CA
NB,MIRAMICHI,CACQ,YCH,71717,4701N,06528W,31,X,,T,,,,8,CA
NB,MISCOUISL(MARS,CWMI,WMI,71719,4801N,06430W,3,X,,,,,,7,CA
NB,MONCTONAIRPORT,CYQM,YQM,71705,4607N,06440W,71,X,,T,,,,6,CA
NB,POINTLEPREAU,CWPE,WPE,,4504N,06628W,1,X,,,,,,7,CA
NB,PT.ESCUMINAC(MA,CWPJ,WPJ,71414,4704N,06447W,5,X,,,,,,7,CA
NB,SAINTJOHN,CYSJ,YSJ,71609,4519N,06552W,109,X,,U,,,,6,CA
NB,SAINTLEONARDAR,CYSL,YSL,71703,4708N,06749W,241,X,,T,,,,6,CA
NB,STLEONARDAUTOB,CWIY,WIY,71019,4708N,06749W,241,X,,,,,,7,CA
NB,ST.STEPHEN(MAR,CWSS,WSS,71607,4512N,06715W,26,X,,,,,,7,CA
NB,CHARLOAIRPORT,CYCL,,,4759N,06620W,38,Z,,,,,,8,CA
NB,CHATHAM,CYCH,,,4700N,06527W,31,Z,,,,,,8,CA
NB,MIRAMICHI(AU8),CWCQ,WCQ,,4700N,06528W,34,Z,,,,,,8,CA
NL,ARGENTIA(MARS),CWAR,WAR,71807,4717N,05400W,16,X,,,,,,7,CA
NL,BADGER(MARS),CWDI,WDI,71400,4858N,05604W,105,X,,,,,,7,CA
NL,BONAVISTA,CWVA,WVA,71196,4840N,05307W,27,X,,,,,,7,CA
NL,BURGEO,CWBF,,,4737N,05738W,12,X,,,,,,7,CA
NL,CAPEKAKKIVIAK,CWKW,WKW,71176,5958N,06410W,551,X,,,,,,7,CA
NL,CAPEKIGLAPAIT,CWYK,WYK,71177,5707N,06128W,834,X,,,,,,7,CA
NL,CAPERACE(MARS),CWRA,WRA,71800,4638N,05304W,28,X,,,,,,7,CA
NL,CARTWRIGHT,CWCA,,71818,5342N,05701W,14,X,,,,,,7,CA
NL,CARTWRIGHT,CYCA,,,5341N,05702W,12,X,,T,,,,6,CA
NL,CHURCHILLFALLS,CZUM,ZUM,71182,5332N,06405W,440,X,,T,,,,6,CA
NL,DANIEL'SHARBOUR,CWDH,WDH,71185,5013N,05734W,19,X,,,,,,7,CA
NL,DEERLAKEAIRPOR,CYDF,YDF,71809,4913N,05724W,22,X,,T,,,,6,CA
NL,ENGLEE(MAPS),CWDA,WDA,71417,5043N,05607W,29,X,,,,,,7,CA
NL,FEROLLEPT.(MAP,CWXI,WXI,,5101N,05706W,6,X,,,,,,7,CA
NL,GANDERINTLAIRP,CYQX,YQX,71803,4857N,05435W,151,X,,T,,,,6,CA
NL,GOOSEBAYAIRPOR,CYYR,YYR,71816,5319N,06025W,49,X,,T,X,,,5,CA
NL,GRATESCOVE,CWVW,,71336,4810N,05256W,18,X,,,,,,8,CA
NL,HOLYROODRADAR,CWTP,,,4720N,05311W,1,,X,,,,,8,CA
NL,HOPEDALE(MAPS),CWHO,WHO,71900,5527N,06013W,8,X,,,,,,7,CA
NL,LASCIE,CWAG,,71337,4955N,05540W,192,X,,,,,,8,CA
NL,LONGPOND,CWWU,,,4731N,05259W,13,X,,T,,,,8,CA
NL,MAKKOVIKAIRPORT,CYFT,YFT,,5504N,05910W,71,X,,,,,,7,CA
NL,MARBLEMTNRADAR,CXME,,,4856N,05750W,1,,X,,,,,8,CA
NL,MARY'SHARBOUR,CYMH,YMH,,5217N,05551W,11,X,,T,,,,6,CA
NL,NAINAIRPORT,CYDP,YDP,71902,5632N,06140W,7,X,,T,,,,6,CA
NL,PORTAUXBASQUES,CWZB,WZB,71197,4734N,05910W,40,X,,,Z,,,7,CA
NL,ROCKYHARBOUR,CXRH,XRH,71588,4934N,05753W,68,X,,,,,,7,CA
NL,SAGLEK(BAY),CWZZ,WZZ,71804,5819N,06234W,483,X,,,,,,7,CA
NL,SAGLEK(BAY),,,71335,5820N,06235W,501,,,,,,,8,CA
NL,SAGONAISL(MAPS,CWZN,WZN,71408,4722N,05548W,64,X,,,,,,7,CA
NL,SAINTANTHONY,CWAX,WAX,71819,5123N,05605W,111,X,,,,,,7,CA
NL,SAINTANTHONY,CWDW,,71558,5123N,05606W,29,X,,,,,,7,CA
NL,SAINTANTHONYAR,CYAY,YAY,71830,5123N,05604W,28,X,,T,,,,6,CA
NL,STJOHNSARP,CYYT,YYT,71801,4737N,05243W,140,X,,T,X,,,5,CA
NL,STJOHNSWEST,CXSW,,71587,4731N,05247W,114,X,,,,,,7,CA
NL,STEPHENVILLEARP,CYJT,YJT,71815,4833N,05834W,26,X,,T,X,,,5,CA
NL,TERRANOVA,CXTP,XTP,71589,4833N,05358W,107,X,,,,,,7,CA
NL,TUKIALIKBAY,CWTU,WTU,71179,5443N,05821W,683,X,,,,,,7,CA
NL,TWILLINGATE(MAP,CWDO,,71402,4940N,05447W,92,X,,,,,,7,CA
NL,WABUSHLAKEAIRP,CYWK,YWK,71825,5255N,06652W,551,X,,T,,,,6,CA
NL,WRECKHOUSE,CXWR,,71584,4743N,05919W,33,X,,,,,,8,CA
NL,STPIERRE-FRANCE,LFVP,FVP,71805,4646N,05611W,8,X,,T,,,,8,FR
NS,AMHERST(MARS),CWAH,WAH,71410,4551N,06416W,23,X,,,,,,7,CA
NS,BEAVERISLAND(MA,CWBV,WBV,71403,4449N,06219W,10,X,,,,,,7,CA
NS,BRIERISLAND(AUT,CWVU,WVU,,4417N,06620W,16,X,,,,,,7,CA
NS,CAPEGEORGE(AUT,CWGU,WGU,,4552N,06154W,120,X,,,,,,7,CA
NS,CARIBOUPOINT(MA,CWBK,WBK,71415,4546N,06240W,2,X,,,,,,7,CA
NS,CHETICAMP,CXCH,XCH,,4638N,06057W,44,X,,,,,,7,CA
NS,DEBERT,CZDB,,71317,4525N,06328W,38,X,,,,,,8,CA
NS,DIGBYARPT(AWRS,CYID,YID,,4432N,06546W,152,X,,,,,,7,CA
NS,FOURCHUHEAD(MAP,CWRW,WRW,71416,4543N,06013W,10,X,,,,,,7,CA
NS,GRANDETANG(AUT,CWZQ,WZQ,71413,4632N,06103W,17,X,,,,,,7,CA
NS,GREENWOOD(CANM,CYZX,YZX,71397,4459N,06455W,28,X,,T,,,,6,CA
NS,HALIFAXINTLARP,CYHZ,YHZ,71395,4452N,06330W,145,X,,T,,,,0,CA
NS,HARTISLAND(MAP,CWRN,WRN,71419,4521N,06059W,8,X,,,,,,7,CA
NS,INGONISHBEACH,CXIB,XIB,71027,4640N,06023W,8,X,,,,,,8,CA
NS,KEJIMKUJIK(AU8),CWKG,WKG,71599,4426N,06512W,165,X,,,,,,7,CA
NS,KENTVILLE(AUTOB,CXKT,XKT,71605,4504N,06429W,49,X,,,,,,7,CA
NS,LUNENBURG,CXLB,,,4422N,06418W,4,X,,,,,,8,CA
NS,MALAYFALLS,CXMY,XMY,,4459N,06229W,40,X,,,,,,7,CA
NS,MARIONBRIDGE,CXMB,,,4557N,06012W,1,,X,,,,,8,CA
NS,MCNABSISLAND,CXMI,XMI,,4436N,06332W,15,X,,,,,,7,CA
NS,NAPPAN(AUTO),CXNP,,71311,4545N,06414W,20,X,,,,,,8,CA
NS,NORTHMOUNTAIN,CXNM,XNM,,4649N,06040W,439,X,,,,,,7,CA
NS,PORTHAWKESBURY,CYPD,YPD,,4540N,06122W,114,X,,,,,,7,CA
NS,ROWANGORILLAII,CWXO,WXO,,4352N,06032W,44,X,,,,,,7,CA
NS,SABLEISLAND,CWSA,WSA,71600,4356N,06000W,4,X,,T,X,,,5,CA
NS,SABLEISLAND(APT,CYSA,YSA,,4355N,06000W,4,X,,T,,,,6,CA
NS,SHEARWATER(CANM,CYAW,YAW,71601,4438N,06330W,51,X,,T,,,,6,CA
NS,SHELBURNE,CWOS,WOS,71399,4343N,06515W,30,,,,Z,,,8,CA
NS,ST.PAULISL(MAP,CWEF,WEF,71418,4713N,06007W,26,X,,,,,,7,CA
NS,SYDNEYAIRPORT,CYQY,YQY,71707,4610N,06002W,62,X,,T,,,,6,CA
NS,TRACADIE,CXTD,,71308,4537N,06141W,68,X,,,,,,8,CA
NS,TRENTONMUNICIPA,CYTN,YTN,,4537N,06237W,97,X,,,,,,7,CA
NS,TRURO(MARS),CWUR,WUR,71398,4522N,06316W,40,X,,,,,,7,CA
NS,WESTERNHEAD(MA,CWWE,WWE,71411,4358N,06440W,9,X,,,,,,7,CA
NS,YARMOUTHAIRPORT,CYQI,YQI,71603,4350N,06605W,43,X,,T,X,,,5,CA
NT,AKLAVIKAIRPORT,CYKD,YKD,,6813N,13500W,7,X,,,,,,7,CA
NT,CAPEPARRYAUTO4,CZCP,,,7010N,12443W,93,X,,,,,,7,CA
NT,DEADMANVALLEY,CXDK,,71021,6116N,12428W,283,X,,,,,,8,CA
NT,DELINE,CXDE,XDE,71503,6513N,12326W,213,X,,,,,,7,CA
NT,EKATI(PWS),CYOA,YOA,,6442N,11037W,469,X,,T,,,,6,CA
NT,FORTFRANKLINAR,CYWJ,YWJ,,6513N,12326W,176,X,,T,,,,7,CA
NT,FORTGOODHOPEA,CYGH,YGH,,6616N,12837W,66,X,,T,,,,7,CA
NT,FORTLIARDAIRPO,CYJF,YJF,,6013N,12328W,215,X,,,,,,7,CA
NT,FORTMCPHERSONA,CZFM,ZFM,,6724N,13452W,43,X,,T,,,,6,CA
NT,FORTNORMANAIRP,CZFN,ZFN,,6455N,12534W,98,X,,,,,,7,CA
NT,FORTPROVIDENCE,CWID,WID,71087,6119N,11736W,161,X,,,,,,7,CA
NT,FORTRESOLUTION,CYFR,YFR,,6110N,11340W,164,X,,,,,,7,CA
NT,FORTSIMPSONARP,CYFS,YFS,71946,6145N,12113W,169,X,,T,,,,6,CA
NT,FTSIMPSON71681,CXFS,,,6145N,12114W,169,Z,,,,,,8,CA
NT,FORTSIMPSON,CZFS,,71365,6146N,12114W,168,X,,,,,,8,CA
